example_id                                                                                                             | status  | run_time        |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:1:3]                            | passed  | 0.00078 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:1:4]                            | passed  | 0.00087 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:2:1]                            | passed  | 0.00083 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:2:2]                            | passed  | 0.00083 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:2:3]                            | passed  | 0.00083 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:2:4]                            | passed  | 0.00082 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:2:5]                            | passed  | 0.00084 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:3:1]                            | passed  | 0.00103 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:3:2]                            | passed  | 0.00173 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:3:3]                            | passed  | 0.00128 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:3:4]                            | passed  | 0.00136 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:3:5]                            | passed  | 0.00122 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:3:6]                            | passed  | 0.0009 seconds  |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:3:7]                            | passed  | 0.00104 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:4:1]                            | passed  | 0.00087 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:4:2]                            | passed  | 0.0008 seconds  |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:4:3]                            | passed  | 0.00092 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:4:4]                            | passed  | 0.00089 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:4:5]                            | passed  | 0.00096 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:5:1]                            | passed  | 0.00095 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:5:2]                            | passed  | 0.00105 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:5:3]                            | passed  | 0.00124 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:5:4]                            | passed  | 0.00104 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:5:5]                            | passed  | 0.00083 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:5:6]                            | passed  | 0.00164 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:5:7]                            | passed  | 0.00086 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:5:8]                            | passed  | 0.00159 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:6:1]                            | passed  | 0.00096 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:6:2]                            | passed  | 0.0009 seconds  |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:7:1]                            | passed  | 0.00293 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/progress_indicator_component_spec.rb[1:1]                       | passed  | 0.00097 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/progress_indicator_component_spec.rb[1:2]                       | passed  | 0.00106 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/progress_indicator_component_spec.rb[1:3]                       | passed  | 0.00166 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/progress_indicator_component_spec.rb[1:4]                       | passed  | 0.00117 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/progress_indicator_component_spec.rb[1:5]                       | passed  | 0.00083 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/progress_indicator_component_spec.rb[1:6]                       | passed  | 0.00095 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/status_badge_component_spec.rb[1:1]                             | passed  | 0.00087 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/status_badge_component_spec.rb[1:2]                             | passed  | 0.00095 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/status_badge_component_spec.rb[1:3]                             | passed  | 0.00132 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/status_badge_component_spec.rb[1:4]                             | passed  | 0.0024 seconds  |
./engines/immo_promo/spec/components/immo/promo/shared/status_badge_component_spec.rb[1:5]                             | passed  | 0.00157 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:1:1:1]                                    | passed  | 0.00141 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:1:2:1]                                    | passed  | 0.18653 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:1:2:2]                                    | passed  | 0.19331 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:1:2:3]                                    | passed  | 0.18036 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:1:2:4]                                    | passed  | 0.86694 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:1:3:1]                                    | passed  | 0.17832 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:1:4:1]                                    | passed  | 0.19013 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:2:1]                                      | passed  | 0.18318 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:3:1]                                      | passed  | 0.17808 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:3:2]                                      | passed  | 1.04 seconds    |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:4:1]                                      | passed  | 0.18408 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:5:1]                                      | passed  | 0.18623 seconds |
./engines/immo_promo/spec/components/immo/promo/timeline_component_spec.rb[1:5:2]                                      | passed  | 0.1796 seconds  |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:1:1]           | passed  | 0.26584 seconds |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:2:1]           | passed  | 0.18251 seconds |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:3:1]           | passed  | 0.17256 seconds |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:4:1:1]         | failed  | 0.17327 seconds |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:4:1:2]         | failed  | 0.18994 seconds |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:4:2:1]         | passed  | 0.17675 seconds |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:4:3:1]         | failed  | 0.17385 seconds |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:4:4:1]         | passed  | 0.17766 seconds |
./engines/immo_promo/spec/controllers/concerns/immo/promo/financial_dashboard/budget_analysis_spec.rb[1:4:4:2]         | passed  | 0.17225 seconds |
